"group","fmri_t_value","dti_t_value","is_non_null"
"null",0.983323041694259,0.81997751223058,0
"null",0.0309214474667476,0.458595054051905,0
"null",1.32115815416622,1.52428924413046,0
"null",1.69120386771126,1.7449299370515,0
"null",0.891986276913857,0.0189654330637946,0
"null",0.774328190612466,0.82359222939499,0
"null",0.514518537941872,1.15547497342191,0
"null",1.18122794522573,1.04228752757752,0
"null",0.132204840223226,0.485655398989895,0
"non-null",2.20279033583722,1.16764609887519,1
"null",1.98559951458242,0.435306738891094,0
"null",1.38694419458136,0.506671259999659,0
"null",0.602927848523273,0.410764573630098,0
"null",1.21298826713189,1.37325701070784,0
"null",0.329659499090496,0.970818267989776,0
"null",0.765159923248328,1.56283629141145,0
"null",0.507066951037815,1.10210369335566,0
"null",0.270908591983172,0.102146673351954,0
"null",0.435379307736101,0.912255515154142,0
"non-null",2.44308384249811,1.71437806106436,1
"null",1.68853717280165,0.70364219488947,0
"null",1.14189869117595,0.190924210549404,0
"null",1.4598251359953,1.16971901414618,0
"null",1.17338407804956,2.27165073635454,0
"null",1.37627573519213,1.33287883209064,0
"null",1.24755323398869,0.149134513953029,0
"null",0.0487324895405523,0.0887864251112006,0
"non-null",2.72056617655154,1.14626664477059,1
"null",1.15233796255835,1.28887355556618,0
"non-null",2.51778960972321,0.635395404941815,1
"null",0.68217341156407,0.637069155021373,0
"null",1.52501526712362,1.9491796004101,0
"null",1.77837655538991,1.68200376283972e-14,0
"null",1.67496209683337,1.08297873063176,0
"non-null",2.25976162162639,0.770781246293564,1
"null",0.333602051272495,2.42464945179783,0
"null",0.828810900580686,1.19174000017542,0
"non-null",2.43950152926639,1.060122854947,1
"null",1.65116508842763,1.68200376283972e-14,0
"null",1.23685554010462,1.68200376283972e-14,0
"null",0.826132498776906,0.267782593792913,0
"null",1.33308336047325,0.671047307021827,0
"null",0.151390968349404,0.228183290906529,0
"null",1.27556312891135,0.579791104013294,0
"null",0.178358625493727,0.171053544346981,0
"null",1.47685012184086,0.688870771934391,0
"null",0.610978905720236,1.27330722152949,0
"null",0.730933866063576,1.28560616617902,0
"null",1.18790818022925,1.68200376283972e-14,0
"null",0.505096032005141,1.42090360540476,0
"null",1.25656268006861,1.07663405863944,0
"null",1.49442869827845,0.953702948473788,0
"null",0.824122107530486,0.671047307021827,0
"null",1.75805204638257,1.0328682895892,0
"null",1.36730993446316,1.02683881086241,0
"null",1.0390200781293,0.7191092200713,0
"null",1.20677333758296,0.210260722361902,0
"null",1.23701418453742,0.183435212547619,0
"null",0.126674002299213,0.998878988437038,0
"null",0.339575182831684,0.512477897220401,0
"null",0.507942618277509,0.645119735531595,0
"null",1.96486639114189,1.55099504173596,0
"null",0.812891178106991,0.368451277920658,0
"null",1.74554188136291,0.631101422912762,0
"null",1.32862092183829,0.537326781085323,0
"null",0.834218565899309,1.06489273680659,0
"null",1.67241539142285,0.855485212895713,0
"null",2.0174997963106,1.55932431624931,0
"null",0.00294056832322835,0.782410793429188,0
"null",1.84633688088063,1.4242674540209,0
"null",0.830911626010018,1.14469690740617,0
"null",1.03647555182899,0.4765098510601,0
"null",0.85768498513141,0.226982491198739,0
"null",1.52727888595416,1.1832774358566,0
"null",1.73036036702492,1.62217440961135,0
"null",0.221691420919239,0.0260534753800811,0
"null",0.855879387727858,0.584719018058305,0
"null",0.0987344530739489,0.254098335178455,0
"null",0.491111310366552,0.476327696202362,0
"null",0.831604389798871,0.907499545345055,0
"null",0.0174623002566107,0.449060231149525,0
"null",0.0557703932203867,0.0384268928575027,0
"null",1.02617192132964,0.651216533820291,0
"null",1.3139550544941,0.303887274330861,0
"null",0.369907491302277,1.4403540067999,0
"null",1.75268479564762,0.525151006416608,0
"null",0.128358676195135,0.720596307284552,0
"null",0.864829513885051,0.510610797934218,0
"null",1.94493944959493,2.67679947187927,0
"null",0.865206475890891,1.70284180587279,0
"null",0.736456468502413,1.43140939306043,0
"null",0.100046310585542,0.859166456043539,0
"null",0.439536551614202,0.0959667376984836,0
"non-null",2.70101788950354,0.104444206903272,1
"null",0.636774256497771,1.09601367893717,0
"null",0.0155667840527513,1.14570571015201,0
"null",0.490392285101602,0.133525469977469,0
"null",0.57870629748173,1.19738515166872,0
"null",0.226304786813059,1.23890929695278,0
"non-null",2.74227208505606,0.0524620950144127,1
"non-null",2.37517999169769,0.627201096234987,1
"non-null",2.16241887794537,1.57589589075047,1
"null",0.22211935473305,1.56805022325439,0
"null",0.0960823791412017,0.568543842760094,0
"null",1.50921598443264,0.678723130181261,0
"null",0.665632220522327,0.499135684050934,0
"null",0.125790714400032,0.874691096275694,0
"null",0.0397695247333495,0.583213276460238,0
"null",1.14304177061311,0.102748034861127,0
"null",0.2717387900754,2.21783654072382,0
"null",0.404149069759418,0.0593878803354463,0
"null",1.15610725694101,0.126396132903125,0
"null",0.334202237705676,1.78849910268287,0
"null",1.57031719333321,1.49540970736972,0
"null",0.564675591993438,1.40446621489896,0
"null",1.21678416388572,0.912592630237533,0
"null",0.629029044734247,1.27943918031512,0
"null",1.45272602093719,0.0686730262486237,0
"null",0.592743168372416,1.29968201389721,0
"null",0.685148596620722,0.819436129796376,0
"null",0.579749066459342,1.3332597135267,0
"null",0.531520327996868,1.29172780095357,0
"null",1.40158300214116,1.25471016667778,0
"null",0.999812173395649,1.16763295026426,0
"null",0.812121633039544,0.503476247723335,0
"null",0.481339048707285,2.12056136946215,0
"null",0.0463725363878469,0.248144004380365,0
"null",1.47998756306413,0.272817342304959,0
"null",0.622818167895844,0.263571287771569,0
"null",0.145409486183432,0.559986843899512,0
"null",0.630857108525472,1.17709234820893,0
"null",0.396817584657565,1.68200376283972e-14,0
"null",0.568490012457348,1.09570305073252,0
"null",1.50789234328123,0.499358140283234,0
"non-null",2.14258046221204,0.962834277196063,1
"non-null",3.02971800471154,0.492142522619706,1
"null",0.0727832865535494,1.56784683446874,0
"null",0.0437225613806399,1.2499399161117,0
"non-null",2.54582422411714,0.862419866975929,1
"null",0.520351352246181,0.560161646561025,0
"null",0.63173070264304,0.142676183910827,0
"null",0.310539135399531,1.1862370150495,0
"null",1.69024302581968,0.518054456408715,0
"null",1.02029119858183,0.203353084178861,0
